Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
1 3 8 9 10,0.0105381,23.4722,N/A,N/A,3,1 3,N/A,N/A,N/A,8,9,10,1 10,3 9
1 3 8 9 10 12,0.00114391,35.3056,N/A,N/A,3,1 3,N/A,N/A,N/A,8,9,10,1 10,12
3 8 9 11,0.00345793,26.4722,N/A,N/A,3,N/A,N/A,N/A,N/A,8,9,N/A,11,3 9
3 8 9 11 12,0.000344523,38.3333,N/A,N/A,3,N/A,N/A,N/A,N/A,8,9,N/A,11,12
3 8 9 10,0.00673011,24.1944,N/A,N/A,3,N/A,N/A,N/A,N/A,8,9,10,3 8,3 9
1 3 8 9 10 11,0.00237435,34.0556,N/A,N/A,3,1 3,N/A,N/A,N/A,8,9,10,11,3 9
3 8 9 10 12,0.000688253,36.0556,N/A,N/A,3,N/A,N/A,N/A,N/A,8,9,10,3 8,12
1 3 8 9 10 11 12,0.000311745,45.7778,N/A,N/A,3,1 3,N/A,N/A,N/A,8,9,10,11,12
1 3 7,0.115741,6.05556,N/A,N/A,3,1 3,N/A,N/A,7,1 7,N/A,3 7,1 3 7,N/A
1 3 7 12,0.00771605,17.5278,N/A,N/A,3,1 3,N/A,N/A,7,1 7,N/A,3 7,1 3 7,12
3 7,0.101852,7.55556,N/A,N/A,3,N/A,N/A,N/A,7,N/A,N/A,3 7,N/A,N/A
1 3 7 11,0.0185185,16.0556,N/A,N/A,3,1 3,N/A,N/A,7,1 7,N/A,3 7,11,1 11
3 7 12,0.00617284,19.0556,N/A,N/A,3,N/A,N/A,N/A,7,N/A,N/A,3 7,N/A,12
1 3 7 11 12,0.00152178,27.6389,N/A,N/A,3,1 3,N/A,N/A,7,1 7,N/A,3 7,11,12
1 3 7 10,0.0250772,14.8889,N/A,N/A,3,1 3,N/A,N/A,7,1 7,N/A,10,1 10,N/A
1 3 7 10 12,0.002497,26.2222,N/A,N/A,3,1 3,N/A,N/A,7,1 7,N/A,10,1 10,12
3 7 11,0.0123457,17.6389,N/A,N/A,3,N/A,N/A,N/A,7,N/A,N/A,3 7,11,N/A
